year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2017,2,16941R 90 8,,CHINA PETE & CHEM CORP,CALL,,16941R,90,8,16941R90,16941R908
2017,2,736508 95 7,,PORTLAND GEN ELEC CO,PUT,,736508,95,7,73650895,736508957
2017,2,464288 69 5,*,ISHARES TR,GLOBAL MATER ETF,,464288,69,5,46428869,464288695
2017,2,53219L 90 9,,LIFEPOINT HEALTH INC,CALL,,53219L,90,9,53219L90,53219L909
2017,2,19247R 10 3,,COHEN & STEERS TOTAL RETURN,COM,,19247R,10,3,19247R10,19247R103
2017,2,708160 95 6,,PENNEY J C INC,PUT,,708160,95,6,70816095,708160956
2017,2,94973V BG 1,,ANTHEM INC,NOTE  2.750%10/1,,94973V,BG,1,94973VBG,94973VBG1
2017,2,33939L 88 6,,FLEXSHARES TR,READY ACC VARI,,33939L,88,6,33939L88,33939L886
2017,2,50077C 95 6,,KRATON CORPORATION,PUT,,50077C,95,6,50077C95,50077C956
2017,2,462222 95 0,,IONIS PHARMACEUTICALS INC,PUT,,462222,95,0,46222295,462222950
2017,2,05965X 95 9,,BANCO SANTANDER CHILE NEW,PUT,,05965X,95,9,05965X95,05965X959
2017,2,630077 90 5,,NANOMETRICS INC,CALL,,630077,90,5,63007790,630077905
2017,2,60855R 10 0,*,MOLINA HEALTHCARE INC,COM,,60855R,10,0,60855R10,60855R100
2017,2,402635 95 4,,GULFPORT ENERGY CORP,PUT,,402635,95,4,40263595,402635954
2017,2,571157 95 6,,MARLIN BUSINESS SVCS CORP,PUT,,571157,95,6,57115795,571157956
2017,2,023139 88 4,*,AMBAC FINL GROUP INC,COM NEW,,023139,88,4,02313988,023139884
2017,2,25490K 95 3,,DIREXION SHS ETF TR,PUT,,25490K,95,3,25490K95,25490K953
2017,2,M22013 10 2,*,CERAGON NETWORKS LTD,ORD,,M22013,10,2,M2201310,M22013102
2017,2,00461U 90 5,,ACLARIS THERAPEUTICS INC,CALL,,00461U,90,5,00461U90,00461U905
2017,2,897238 30 9,*,TROVAGENE INC,COM NEW,,897238,30,9,89723830,897238309
2017,2,48238T 90 9,,KAR AUCTION SVCS INC,CALL,,48238T,90,9,48238T90,48238T909
2017,2,02209S 10 3,*,ALTRIA GROUP INC,COM,,02209S,10,3,02209S10,02209S103
2017,2,124805 90 2,,CBIZ INC,CALL,,124805,90,2,12480590,124805902
2017,2,16936R 90 5,,CHINA AUTOMOTIVE SYS INC,CALL,,16936R,90,5,16936R90,16936R905
2017,2,94987C 10 3,,WELLS FARGO GLOBAL DIVIDEND,COM,,94987C,10,3,94987C10,94987C103
2017,2,30292L 10 7,,FRP HLDGS INC,COM,,30292L,10,7,30292L10,30292L107
2017,2,044102 90 1,,ASHFORD HOSPITALITY PRIME IN,CALL,,044102,90,1,04410290,044102901
2017,2,90478E 90 1,,UNILIFE CORP NEW,CALL,DELETED,90478E,90,1,90478E90,90478E901
2017,2,036642 95 6,,ANTARES PHARMA INC,PUT,,036642,95,6,03664295,036642956
2017,2,05545E 20 9,*,BHP BILLITON PLC,SPONSORED ADR,,05545E,20,9,05545E20,05545E209
2017,2,292766 95 2,,ENERPLUS CORP,PUT,,292766,95,2,29276695,292766952
2017,2,92189F 90 8,,VANECK VECTORS ETF TR,CALL,,92189F,90,8,92189F90,92189F908
2017,2,78464A 81 3,*,SPDR SERIES TRUST,S&P 600 SML CAP,,78464A,81,3,78464A81,78464A813
2017,2,73935X 41 9,*,POWERSHARES ETF TRUST,CON DISCRE SEC,,73935X,41,9,73935X41,73935X419
2017,2,246101 10 9,,DELAWARE INV CO MUN INC FD I,COM,,246101,10,9,24610110,246101109
2017,2,276317 10 4,,EASTERN CO,COM,,276317,10,4,27631710,276317104
2017,2,830566 10 5,*,SKECHERS U S A INC,CL A,,830566,10,5,83056610,830566105
2017,2,670346 90 5,,NUCOR CORP,CALL,,670346,90,5,67034690,670346905
2017,2,29258Y 90 3,,ENDEAVOUR SILVER CORP,CALL,,29258Y,90,3,29258Y90,29258Y903
2017,2,58958U 10 3,*,MERIDIAN BANCORP INC MD,COM,,58958U,10,3,58958U10,58958U103
2017,2,904311 90 7,,UNDER ARMOUR INC,CALL,,904311,90,7,90431190,904311907
2017,2,961765 95 4,,WESTWOOD HLDGS GROUP INC,PUT,,961765,95,4,96176595,961765954
2017,2,872590 20 3,,T MOBILE US INC,CONV PFD SER A,,872590,20,3,87259020,872590203
2017,2,30224P 95 0,,EXTENDED STAY AMER INC,PUT,,30224P,95,0,30224P95,30224P950
2017,2,464288 83 6,*,ISHARES TR,U.S. PHARMA ETF,,464288,83,6,46428883,464288836
2017,2,90041L 10 5,,TURNING PT BRANDS INC,COM,,90041L,10,5,90041L10,90041L105
2017,2,09257P 95 5,,BLACKROCK MUN 2030 TAR TERM,PUT,,09257P,95,5,09257P95,09257P955
2017,2,16383L 90 6,,CHEMOCENTRYX INC,CALL,,16383L,90,6,16383L90,16383L906
2017,2,464288 87 7,*,ISHARES TR,EAFE VALUE ETF,,464288,87,7,46428887,464288877
2017,2,758849 10 3,*,REGENCY CTRS CORP,COM,,758849,10,3,75884910,758849103
2017,2,19625X 90 2,,COLONY STARWOOD HOMES,CALL,,19625X,90,2,19625X90,19625X902
2017,2,46431W 60 6,,ISHARES U S ETF TR,IT RT HDG HGYL,,46431W,60,6,46431W60,46431W606
2017,2,09202G 95 1,,BLACK DIAMOND INC,PUT,,09202G,95,1,09202G95,09202G951
2017,2,617480 28 0,,MORGAN STANLEY,SHRT EUR ETN20,,617480,28,0,61748028,617480280
2017,2,90270L 72 7,,UBS AG LONDON BRH,2XLEV US HG DV,,90270L,72,7,90270L72,90270L727
2017,2,00167X 95 5,,AMEC FOSTER WHEELER PLC,PUT,,00167X,95,5,00167X95,00167X955
2017,2,30040P 95 3,,EVERTEC INC,PUT,,30040P,95,3,30040P95,30040P953
2017,2,346233 90 9,,FORESTAR GROUP INC,CALL,,346233,90,9,34623390,346233909
2017,2,159179 95 0,,CHANNELADVISOR CORP,PUT,,159179,95,0,15917995,159179950
2017,2,05577E 95 1,,BT GROUP PLC,PUT,,05577E,95,1,05577E95,05577E951
2017,2,37954Y 66 5,,GLOBAL X FDS,GBL X MSCI NIGER,,37954Y,66,5,37954Y66,37954Y665
2017,2,46435G 87 0,,ISHARES TR,MSCI SWITZERLD,,46435G,87,0,46435G87,46435G870
2017,2,055622 90 4,,BP PLC,CALL,,055622,90,4,05562290,055622904
2017,2,14740B 60 6,*,CASCADIAN THERAPEUTICS INC,COM NEW,,14740B,60,6,14740B60,14740B606
2017,2,267475 90 1,,DYCOM INDS INC,CALL,,267475,90,1,26747590,267475901
2017,2,004498 95 1,,ACI WORLDWIDE INC,PUT,,004498,95,1,00449895,004498951
